Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
Innov8 Ras Vilas,delhi nct,"Lower Ground Floor, Saket Salcon Rasvilas, Saket District Centre, Sector 6, Pushp Vihar, Next to Select City Walk Mall, Delhi 110017",Mayank Rathaur	,Delhi (NCT),sector 6,400,gold,live,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Common Area"",""Reception"",""Printer/Scanner"",""Easy Accessibility""]",8799,0,10999,gold,Innov8 Ras Vilas,3.9,378,24,"Day Pass, Flexi Desk, Private Cabin"
Qutab Institutional Area,delhi nct,"1st Floor, Nagari Pracharani Trust Near Kamakshi Devi Temple, Aruna Asaf Ali Marg",,Delhi (NCT),vasant kunj,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,3500,13000,platinum,Qutab Institutional Area,4.9,28,69,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Rajarhat,kolkata,"Rajarhat, 2A, 6TH Floor, Ecospace Business Park Premises, AA II, Kolkata, West Bengal 700156",,West Bengal,newtown,400,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1350,2000,9000,gold,Rajarhat,4.1,370,48,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
St. Mark Road,bengaluru," Samrah Plaza, St Marks Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",,Karnataka,ashok nagar,500,gold,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,gold,St. Mark Road,4.6,97,20,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Spring House Coworking,delhi nct,"2nd Floor, B1/638A, Janakpuri, New Delhi, Delhi 110058",Pranshu Singh,Delhi (NCT),rajendra place,500,gold,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",7500,0,9500,gold,Spring House Coworking,3.6,492,62,"Day Pass, Flexi Desk, Private Cabin"
Spring House Coworking,noida,"B 8, Block B, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Mariya,Uttar Pradesh,sector 62,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",4500,0,6000,gold,Spring House Coworking,3.7,231,5,"Flexi Desk, Private Cabin"
WorkFlo,noida,"Plot D-2, Sector 2, Near sec 16 metro, Noida, UP",,Uttar Pradesh,sector 2,400,gold,not live,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,6999,7499,standard,WorkFlo,3.8,11,34,"Day Pass, Dedicated Desk, Private Cabin"
Vashi Raghuleela,mumbai,"2nd Floor, Raghuleela, Arcade Vishwaroop, Infotech Pvt. Ltd. Plot No 34, 35, 38,, Mumbai, Maharashtra 400703",,Maharashtra,vashi,750,platinum,not live,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,platinum,Vashi Raghuleela,4.0,282,37,"Day Pass, Dedicated Desk, Private Cabin"
Spring House Coworking,gurgaon,"603 – 604, Welldone Tech Park, Sohna Road, Sec–48, Gurgaon",Sumit Pandey ,Haryana,sector 48,500,gold,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",6500,0,7500,gold,SGGU008,4.4,239,82,"Day Pass, Flexi Desk, Private Cabin"
Spring House Coworking-I,gurgaon,"LG 006, DLF Grand Mall, MG road, near Sikanderpur metro station, Gurugram, Haryana 122001",Divya,Haryana,sector 28,850,platinum+,live,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",12000,0,15000,platinum+,SHGU001,4.1,495,6,"Day Pass, Flexi Desk, Private Cabin"
