Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available
Innov8 Ras Vilas,Delhi NCT,"Lower Ground Floor, Saket Salcon Rasvilas, Saket District Centre, Sector 6, Pushp Vihar, Next to Select City Walk Mall, Delhi 110017",Mayank Rathaur	,Delhi (NCT),Sector 6,400,GOLD,LIVE,"[""Wifi"",""Power Socket"",""Tea/Coffee"",""Common Area"",""Reception"",""Printer/Scanner"",""Easy Accessibility""]",8799,0,10999,GOLD,Innov8 Ras Vilas,3.9,378,24
Qutab Institutional Area,Delhi NCT,"1st Floor, Nagari Pracharani Trust Near Kamakshi Devi Temple, Aruna Asaf Ali Marg",,Delhi (NCT),Vasant Kunj,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1850,3500,13000,PLATINUM,Qutab Institutional Area,4.9,28,69
Rajarhat,Kolkata,"Rajarhat, 2A, 6TH Floor, Ecospace Business Park Premises, AA II, Kolkata, West Bengal 700156",,West Bengal,Newtown,400,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1350,2000,9000,GOLD,Rajarhat,4.1,370,48
St. Mark Road,Bengaluru," Samrah Plaza, St Marks Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",,Karnataka,Ashok Nagar,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,GOLD,St. Mark Road,4.6,97,20
Spring House Coworking,Delhi NCT,"2nd Floor, B1/638A, Janakpuri, New Delhi, Delhi 110058",Pranshu Singh,Delhi (NCT),Rajendra Place,500,GOLD,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",7500,0,9500,GOLD,Spring House Coworking,3.6,492,62
Spring House Coworking,Noida,"B 8, Block B, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India",Mariya,Uttar Pradesh,Sector 62,0,STANDARD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",4500,0,6000,GOLD,Spring House Coworking,3.7,231,5
WorkFlo,Noida,"Plot D-2, Sector 2, Near sec 16 metro, Noida, UP",,Uttar Pradesh,Sector 2,400,GOLD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,6999,7499,STANDARD,WorkFlo,3.8,11,34
Vashi Raghuleela,Mumbai,"2nd Floor, Raghuleela, Arcade Vishwaroop, Infotech Pvt. Ltd. Plot No 34, 35, 38,, Mumbai, Maharashtra 400703",,Maharashtra,Vashi,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,PLATINUM,Vashi Raghuleela,4.0,282,37
Spring House Coworking,Gurgaon,"603 – 604, Welldone Tech Park, Sohna Road, Sec–48, Gurgaon",Sumit Pandey ,Haryana,Sector 48,500,GOLD,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",6500,0,7500,GOLD,SGGU008,4.4,239,82
Spring House Coworking-I,Gurgaon,"LG 006, DLF Grand Mall, MG road, near Sikanderpur metro station, Gurugram, Haryana 122001",Divya,Haryana,Sector 28,850,PLATINUM+,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception""]",12000,0,15000,PLATINUM+,SHGU001,4.1,495,6
Nelson Mandela Marg,Delhi NCT,"B-7, Allied House, Plot no. 5 and 6, Shopping complex, Vasant Kunj, New Delhi, Delhi 110070",,Delhi (NCT),Sultanpur,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,3500,13000,PLATINUM,Nelson Mandela Marg,4.8,458,9
Camp,Pune,"2nd Floor, Nucleus mall, Opposite Police Commissioner Office, 1 Church Road, Camp, Pune, Maharashtra 411001",,Maharashtra,Agarkar Nagar,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Camp,4.6,93,82
Awfis-Zirakpur,Chandigarh,"Motiaz Royal Citi 2nd floor, Chandigarh-Ambala Highway, Zirakpur, Punjab 140603",,Chandigarh (UT),Utrathiya,0,STANDARD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",0,0,9000,STANDARD,Awfis-Zirakpur,4.7,259,95
Regus Caddie,Delhi NCT,"Caddie Commercial Tower 5th floor, New Delhi, Delhi 110037",,Delhi (NCT),Pitam Pura,1000,PLATINUM+,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Parking""]",0,24099,25699,PLATINUM+,Regus Caddie,3.5,168,12
Spring House Coworking-I,Delhi NCT,"639, B1 Rd, Block B 2B, Janakpuri, New Delhi, Delhi 110058, India",Pranshu Singh,Delhi (NCT),Rajendra Place,500,GOLD,LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",7500,0,9500,GOLD,Spring House Coworking-I,4.4,98,59
Whitefield Mascot,Bengaluru,"1st Floor, Mascot 90, No.80, EPIP Industrial Area, Block-II, Whitefield, Bengaluru, Karnataka 560066",,Karnataka,Brookefield,500,GOLD,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,GOLD,Whitefield Mascot,4.5,129,82
Krastay-I,Delhi NCT," H-294, Building 2, Lane 2, First Floor, Westend Marg, near Saket, Saidulajab, New Delhi, Delhi 110030",,Delhi (NCT),Okhla Industrial Estate,0,STANDARD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",6500,7500,30000,SILVER,Krastay-I,4.3,351,66
WorkFlo Goa,North Goa,"Plot No. 13/ A, 3, patto, near income tax department investigation Wing, Patto Centre, Panaji, Goa 403001",,Goa,Patto Centre,0,STANDARD,NOT LIVE,"[""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Common Area"",""Reception""]",0,5400,6199,STANDARD,WorkFlo Goa,3.6,129,23
ABL Workspaces,Noida,"B-6, Amaltash Marg, Block B, Sector 4, Noida, Uttar Pradesh 201301, India",YASHVI,Uttar Pradesh,Sector 4,0,STANDARD,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Reception"",""Wifi""]",6900,0,9000,GOLD,ABL Workspaces,3.5,191,71
Unboxed Coworking,Noida,"C 15, C Block Road, C Block, Sector 65, Noida, Uttar Pradesh 201301, India",tejashwi,Uttar Pradesh,Sector 65,0,STANDARD,LIVE,"[""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Socket"",""Locker/Storage""]",5500,0,6500,GOLD,Unboxed Coworking,3.9,210,97
Spring House Coworking,Gurgaon,"Plot No. 1SP, Sector 27, Gurugram, Haryana 122009  122022, India",Harshit Rathore,Haryana,Sector 27,500,GOLD,LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",7500,0,9500,GOLD,SHGU005,3.8,200,82
Corenthum,Noida,"Level 7, The Corenthum, Sector 62, Noida",,Uttar Pradesh,Sector 62,500,GOLD,NOT LIVE,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1200,2500,11000,GOLD,Corenthum,4.8,373,13
Lokhandwala 2,Mumbai,"Aston Building, 15th Floor, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053",,Maharashtra,Andheri West,750,PLATINUM,NOT LIVE,"[""Wifi"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",1750,3500,13000,PLATINUM,Lokhandwala 2,4.3,255,43
